"County"	"County Code"	"Deaths"	"Population"	"Crude Rate"	"Age Adjusted Rate"	"% of Total Deaths"
	"Parke County, IN"	"18121"	2899	310591	933.4	803.4	0.0%
	"Perry County, IN"	"18123"	3581	345562	1036.3	843.4	0.0%
	"Pike County, IN"	"18125"	2581	230770	1118.4	892.5	0.0%
	"Porter County, IN"	"18127"	22883	2862880	799.3	801.0	0.1%
	"Posey County, IN"	"18129"	4137	471553	877.3	801.4	0.0%
	"Pulaski County, IN"	"18131"	2718	241594	1125.0	895.4	0.0%
	"Putnam County, IN"	"18133"	5827	673355	865.4	822.1	0.0%
	"Randolph County, IN"	"18135"	5177	473238	1094.0	841.3	0.0%
	"Ripley County, IN"	"18137"	4930	505669	974.9	829.6	0.0%
	"Rush County, IN"	"18139"	3424	316133	1083.1	875.9	0.0%
	"St. Joseph County, IN"	"18141"	44727	4793039	933.2	823.5	0.1%
	"Scott County, IN"	"18143"	4830	426658	1132.1	1121.9	0.0%
	"Shelby County, IN"	"18145"	7439	791881	939.4	859.3	0.0%
	"Spencer County, IN"	"18147"	3334	373549	892.5	784.2	0.0%
	"Starke County, IN"	"18149"	4790	418969	1143.3	1033.7	0.0%
	"Steuben County, IN"	"18151"	5222	610514	855.3	785.9	0.0%
	"Sullivan County, IN"	"18153"	4362	386341	1129.1	982.3	0.0%
	"Switzerland County, IN"	"18155"	1718	181898	944.5	899.3	0.0%
	"Tippecanoe County, IN"	"18157"	19222	3004375	639.8	792.0	0.0%
	"Tipton County, IN"	"18159"	3015	289398	1041.8	794.7	0.0%
	"Union County, IN"	"18161"	1228	132385	927.6	841.6	0.0%
	"Vanderburgh County, IN"	"18163"	33854	3194718	1059.7	883.3	0.1%
	"Vermillion County, IN"	"18165"	3799	293331	1295.1	986.2	0.0%
	"Vigo County, IN"	"18167"	20588	1922477	1070.9	950.7	0.0%
	"Wabash County, IN"	"18169"	7212	601014	1200.0	846.7	0.0%
	"Warren County, IN"	"18171"	1502	152587	984.4	817.1	0.0%
	"Warrick County, IN"	"18173"	8733	1035260	843.6	802.5	0.0%
	"Washington County, IN"	"18175"	4990	501264	995.5	957.9	0.0%
	"Wayne County, IN"	"18177"	14689	1245731	1179.1	923.1	0.0%
	"Wells County, IN"	"18179"	4756	499585	952.0	754.2	0.0%
	"White County, IN"	"18181"	4750	445608	1066.0	836.3	0.0%
	"Whitley County, IN"	"18183"	5209	584225	891.6	780.6	0.0%
	"Adair County, IA"	"19001"	2023	139850	1446.5	774.6	0.0%
	"Adams County, IA"	"19003"	956	74403	1284.9	779.3	0.0%
	"Allamakee County, IA"	"19005"	2949	256830	1148.2	737.0	0.0%
	"Appanoose County, IA"	"19007"	3179	235894	1347.6	844.1	0.0%
	"Audubon County, IA"	"19009"	1581	112122	1410.1	720.2	0.0%
	"Benton County, IA"	"19011"	4095	465488	879.7	676.4	0.0%
	"Black Hawk County, IA"	"19013"	20633	2332328	884.7	758.0	0.0%
	"Boone County, IA"	"19015"	5190	474365	1094.1	800.1	0.0%
	"Bremer County, IA"	"19017"	3897	433320	899.3	623.2	0.0%
	"Buchanan County, IA"	"19019"	3579	377773	947.4	763.3	0.0%
	"Buena Vista County, IA"	"19021"	3463	363797	951.9	678.8	0.0%
	"Butler County, IA"	"19023"	3387	269513	1256.7	740.9	0.0%
	"Calhoun County, IA"	"19025"	2601	183696	1415.9	745.3	0.0%
	"Carroll County, IA"	"19027"	4288	376001	1140.4	704.6	0.0%
	"Cass County, IA"	"19029"	3463	251277	1378.2	814.2	0.0%
	"Cedar County, IA"	"19031"	3154	329758	956.5	652.5	0.0%
	"Cerro Gordo County, IA"	"19033"	9124	801663	1138.1	771.8	0.0%
	"Cherokee County, IA"	"19035"	2859	220379	1297.3	726.5	0.0%
	"Chickasaw County, IA"	"19037"	2452	226220	1083.9	704.5	0.0%
	"Clarke County, IA"	"19039"	1884	165987	1135.0	813.0	0.0%
	"Clay County, IA"	"19041"	3353	302454	1108.6	708.6	0.0%
	"Clayton County, IA"	"19043"	3633	327105	1110.7	708.0	0.0%
	"Clinton County, IA"	"19045"	9764	883954	1104.6	816.0	0.0%
	"Crawford County, IA"	"19047"	3007	306315	981.7	703.4	0.0%
	"Dallas County, IA"	"19049"	6376	1087373	586.4	647.3	0.0%
	"Davis County, IA"	"19051"	1594	155987	1021.9	732.6	0.0%
	"Decatur County, IA"	"19053"	1721	152258	1130.3	796.2	0.0%
	"Delaware County, IA"	"19055"	2936	321796	912.4	673.2	0.0%
	"Des Moines County, IA"	"19057"	7973	731766	1089.6	771.2	0.0%
	"Dickinson County, IA"	"19059"	3351	300519	1115.1	649.6	0.0%
	"Dubuque County, IA"	"19061"	15555	1666250	933.5	734.5	0.0%
	"Emmet County, IA"	"19063"	2282	186784	1221.7	745.4	0.0%
	"Fayette County, IA"	"19065"	4542	379829	1195.8	762.2	0.0%
	"Floyd County, IA"	"19067"	3601	295021	1220.6	738.3	0.0%
	"Franklin County, IA"	"19069"	2260	191055	1182.9	708.5	0.0%
	"Fremont County, IA"	"19071"	1700	134794	1261.2	789.5	0.0%
	"Greene County, IA"	"19073"	2246	172718	1300.4	742.6	0.0%
	"Grundy County, IA"	"19075"	2419	222881	1085.3	662.2	0.0%
	"Guthrie County, IA"	"19077"	2366	198712	1190.7	739.8	0.0%
	"Hamilton County, IA"	"19079"	3060	285311	1072.5	699.3	0.0%
	"Hancock County, IA"	"19081"	2281	207417	1099.7	689.4	0.0%
	"Hardin County, IA"	"19083"	4272	321671	1328.1	755.9	0.0%
	"Harrison County, IA"	"19085"	3400	270249	1258.1	857.8	0.0%
	"Henry County, IA"	"19087"	3781	363317	1040.7	772.8	0.0%
	"Howard County, IA"	"19089"	2107	173758	1212.6	728.4	0.0%
	"Humboldt County, IA"	"19091"	2137	178983	1194.0	700.9	0.0%
	"Ida County, IA"	"19093"	1786	131640	1356.7	770.6	0.0%
	"Iowa County, IA"	"19095"	3063	291268	1051.6	689.9	0.0%
	"Jackson County, IA"	"19097"	3889	358423	1085.0	750.6	0.0%
	"Jasper County, IA"	"19099"	6523	667554	977.1	731.3	0.0%
	"Jefferson County, IA"	"19101"	2733	302188	904.4	696.0	0.0%
	"Johnson County, IA"	"19103"	10654	2283551	466.6	622.9	0.0%
	"Jones County, IA"	"19105"	3513	369273	951.3	683.0	0.0%
	"Keokuk County, IA"	"19107"	2180	193166	1128.6	707.6	0.0%
	"Kossuth County, IA"	"19109"	3340	287553	1161.5	655.5	0.0%
	"Lee County, IA"	"19111"	7833	651711	1201.9	873.7	0.0%
	"Linn County, IA"	"19113"	28433	3710560	766.3	706.9	0.1%
	"Louisa County, IA"	"19115"	1970	211024	933.5	776.3	0.0%
	"Lucas County, IA"	"19117"	1981	163915	1208.6	747.2	0.0%
	"Lyon County, IA"	"19119"	2131	210195	1013.8	670.5	0.0%
	"Madison County, IA"	"19121"	2575	271932	946.9	751.4	0.0%
	"Mahaska County, IA"	"19123"	3943	402430	979.8	717.7	0.0%
	"Marion County, IA"	"19125"	5929	593294	999.3	760.5	0.0%
	"Marshall County, IA"	"19127"	8610	721307	1193.7	879.0	0.0%
	"Mills County, IA"	"19129"	2467	267312	922.9	834.6	0.0%
	"Mitchell County, IA"	"19131"	2361	194361	1214.7	642.0	0.0%
	"Monona County, IA"	"19133"	2842	169864	1673.1	868.1	0.0%
	"Monroe County, IA"	"19135"	1835	143278	1280.7	847.5	0.0%
	"Montgomery County, IA"	"19137"	2742	197057	1391.5	821.3	0.0%
	"Muscatine County, IA"	"19139"	6942	762155	910.8	803.2	0.0%
	"O'Brien County, IA"	"19141"	3436	260540	1318.8	727.8	0.0%
	"Osceola County, IA"	"19143"	1406	118387	1187.6	740.3	0.0%
	"Page County, IA"	"19145"	3857	290446	1328.0	808.4	0.0%
	"Palo Alto County, IA"	"19147"	2327	172149	1351.7	757.7	0.0%
	"Plymouth County, IA"	"19149"	4359	448425	972.1	700.9	0.0%
	"Pocahontas County, IA"	"19151"	1869	138398	1350.5	751.6	0.0%
	"Polk County, IA"	"19153"	54235	7517615	721.4	764.5	0.1%
	"Pottawattamie County, IA"	"19155"	15722	1638919	959.3	843.2	0.0%
	"Poweshiek County, IA"	"19157"	3973	339760	1169.4	751.6	0.0%
	"Ringgold County, IA"	"19159"	1433	93857	1526.8	773.3	0.0%
	"Sac County, IA"	"19161"	2631	191104	1376.7	736.3	0.0%
	"Scott County, IA"	"19163"	24543	2941389	834.4	776.8	0.1%
	"Shelby County, IA"	"19165"	2653	223725	1185.8	675.4	0.0%
	"Sioux County, IA"	"19167"	4529	598982	756.1	585.5	0.0%
	"Story County, IA"	"19169"	8685	1572175	552.4	625.7	0.0%
	"Tama County, IA"	"19171"	3656	321262	1138.0	743.6	0.0%
	"Taylor County, IA"	"19173"	1534	116895	1312.3	726.4	0.0%
	"Union County, IA"	"19175"	2698	222656	1211.7	821.1	0.0%
	"Van Buren County, IA"	"19177"	1703	136667	1246.1	810.4	0.0%
	"Wapello County, IA"	"19179"	7439	640515	1161.4	856.8	0.0%
	"Warren County, IA"	"19181"	6482	805798	804.4	743.3	0.0%
	"Washington County, IA"	"19183"	4234	387771	1091.9	704.5	0.0%
	"Wayne County, IA"	"19185"	1714	116863	1466.7	820.3	0.0%
	"Webster County, IA"	"19187"	8293	691558	1199.2	869.9	0.0%
	"Winnebago County, IA"	"19189"	2365	198908	1189.0	707.1	0.0%
	"Winneshiek County, IA"	"19191"	3271	378289	864.7	604.0	0.0%
	"Woodbury County, IA"	"19193"	16693	1838543	907.9	829.6	0.0%
	"Worth County, IA"	"19195"	1673	138130	1211.2	768.7	0.0%
	"Wright County, IA"	"19197"	3110	242597	1282.0	717.3	0.0%
	"Allen County, KS"	"20001"	3238	244191	1326.0	918.1	0.0%
	"Anderson County, KS"	"20003"	1762	144728	1217.5	770.2	0.0%
	"Atchison County, KS"	"20005"	3324	302005	1100.6	877.5	0.0%
	"Barber County, KS"	"20007"	1183	89519	1321.5	829.5	0.0%
	"Barton County, KS"	"20009"	5525	495879	1114.2	794.0	0.0%
	"Bourbon County, KS"	"20011"	3458	270727	1277.3	898.9	0.0%
	"Brown County, KS"	"20013"	2387	182197	1310.1	859.9	0.0%
	"Butler County, KS"	"20015"	10339	1145898	902.3	834.2	0.0%
	"Chase County, KS"	"20017"	658	51335	1281.8	818.8	0.0%
	"Chautauqua County, KS"	"20019"	1130	69071	1636.0	883.5	0.0%
	"Cherokee County, KS"	"20021"	4819	389608	1236.9	1001.2	0.0%
	"Cheyenne County, KS"	"20023"	725	51279	1413.8	697.1	0.0%
	"Clark County, KS"	"20025"	573	40513	1414.4	762.5	0.0%
	"Clay County, KS"	"20027"	1961	153253	1279.6	733.0	0.0%
	"Cloud County, KS"	"20029"	2655	173666	1528.8	826.8	0.0%
	"Coffey County, KS"	"20031"	1865	155029	1203.0	859.2	0.0%
	"Comanche County, KS"	"20033"	610	34378	1774.4	947.8	0.0%
	"Cowley County, KS"	"20035"	7762	650911	1192.5	924.8	0.0%
	"Crawford County, KS"	"20037"	7865	699601	1124.2	921.1	0.0%
	"Decatur County, KS"	"20039"	910	55907	1627.7	764.1	0.0%
	"Dickinson County, KS"	"20041"	4257	349492	1218.1	805.2	0.0%
	"Doniphan County, KS"	"20043"	1466	143576	1021.1	762.0	0.0%
	"Douglas County, KS"	"20045"	10701	1956489	546.9	704.2	0.0%
	"Edwards County, KS"	"20047"	746	56432	1321.9	847.1	0.0%
	"Elk County, KS"	"20049"	871	52722	1652.1	887.4	0.0%
	"Ellis County, KS"	"20051"	4421	506779	872.4	745.4	0.0%
	"Ellsworth County, KS"	"20053"	1510	115902	1302.8	789.0	0.0%
	"Finney County, KS"	"20055"	3621	673037	538.0	730.5	0.0%
	"Ford County, KS"	"20057"	4417	595776	741.4	800.2	0.0%
	"Franklin County, KS"	"20059"	4423	459349	962.9	836.0	0.0%
	"Geary County, KS"	"20061"	3640	564613	644.7	886.6	0.0%
	"Gove County, KS"	"20063"	711	50645	1403.9	736.1	0.0%
	"Graham County, KS"	"20065"	663	48955	1354.3	737.5	0.0%
	"Grant County, KS"	"20067"	950	140067	678.2	809.3	0.0%
	"Gray County, KS"	"20069"	938	107066	876.1	771.6	0.0%
	"Greeley County, KS"	"20071"	314	24033	1306.5	827.0	0.0%
	"Greenwood County, KS"	"20073"	1974	124981	1579.4	926.0	0.0%
	"Hamilton County, KS"	"20075"	528	47296	1116.4	904.8	0.0%
	"Harper County, KS"	"20077"	1771	109701	1614.4	911.8	0.0%
	"Harvey County, KS"	"20079"	6687	612087	1092.5	747.0	0.0%
	"Haskell County, KS"	"20081"	536	75322	711.6	764.7	0.0%
	"Hodgeman County, KS"	"20083"	395	36050	1095.7	671.2	0.0%
	"Jackson County, KS"	"20085"	2368	237139	998.6	804.7	0.0%
	"Jefferson County, KS"	"20087"	3078	339808	905.8	770.4	0.0%
	"Jewell County, KS"	"20089"	863	58629	1472.0	724.1	0.0%
	"Johnson County, KS"	"20091"	58072	9388277	618.6	647.8	0.1%
	"Kearny County, KS"	"20093"	697	74026	941.6	914.4	0.0%
	"Kingman County, KS"	"20095"	1955	145752	1341.3	808.8	0.0%
	"Kiowa County, KS"	"20097"	563	50828	1107.7	702.7	0.0%
	"Labette County, KS"	"20099"	5072	391033	1297.1	940.2	0.0%
	"Lane County, KS"	"20101"	492	33135	1484.8	887.9	0.0%
	"Leavenworth County, KS"	"20103"	9806	1335663	734.2	813.7	0.0%
	"Lincoln County, KS"	"20105"	838	60058	1395.3	789.9	0.0%
	"Linn County, KS"	"20107"	2008	174258	1152.3	826.6	0.0%
	"Logan County, KS"	"20109"	653	51406	1270.3	758.3	0.0%
	"Lyon County, KS"	"20111"	5179	626988	826.0	785.6	0.0%
	"McPherson County, KS"	"20113"	6477	526572	1230.0	769.2	0.0%
	"Marion County, KS"	"20115"	3120	229778	1357.8	762.1	0.0%
	"Marshall County, KS"	"20117"	2431	184928	1314.6	732.7	0.0%
	"Meade County, KS"	"20119"	882	80959	1089.4	736.2	0.0%
	"Miami County, KS"	"20121"	4691	561577	835.3	779.0	0.0%
	"Mitchell County, KS"	"20123"	1666	116789	1426.5	771.1	0.0%
	"Montgomery County, KS"	"20125"	8313	630458	1318.6	937.9	0.0%
	"Morris County, KS"	"20127"	1381	106085	1301.8	750.5	0.0%
	"Morton County, KS"	"20129"	640	58404	1095.8	831.3	0.0%
	"Nemaha County, KS"	"20131"	2478	185961	1332.5	711.8	0.0%
	"Neosho County, KS"	"20133"	3627	298539	1214.9	859.5	0.0%
	"Ness County, KS"	"20135"	848	57316	1479.5	752.5	0.0%
	"Norton County, KS"	"20137"	1234	102926	1198.9	744.5	0.0%
	"Osage County, KS"	"20139"	3333	295558	1127.7	856.0	0.0%
	"Osborne County, KS"	"20141"	1192	71977	1656.1	798.0	0.0%
	"Ottawa County, KS"	"20143"	1340	109618	1222.4	850.9	0.0%
	"Pawnee County, KS"	"20145"	1473	125322	1175.4	778.3	0.0%
	"Phillips County, KS"	"20147"	1438	101892	1411.3	812.6	0.0%
	"Pottawatomie County, KS"	"20149"	3050	371245	821.6	761.6	0.0%
	"Pratt County, KS"	"20151"	2166	173892	1245.6	811.9	0.0%
	"Rawlins County, KS"	"20153"	733	48390	1514.8	734.1	0.0%
	"Reno County, KS"	"20155"	12749	1153629	1105.1	798.1	0.0%
	"Republic County, KS"	"20157"	1603	92937	1724.8	796.4	0.0%
	"Rice County, KS"	"20159"	2316	184510	1255.2	883.3	0.0%
	"Riley County, KS"	"20161"	5713	1236518	462.0	672.1	0.0%
	"Rooks County, KS"	"20163"	1244	95824	1298.2	796.6	0.0%
	"Rush County, KS"	"20165"	949	59730	1588.8	804.9	0.0%
	"Russell County, KS"	"20167"	1783	126556	1408.9	776.4	0.0%
	"Saline County, KS"	"20169"	9324	985992	945.6	800.3	0.0%
	"Scott County, KS"	"20171"	987	88305	1117.7	769.6	0.0%
	"Sedgwick County, KS"	"20173"	71035	8687753	817.6	837.1	0.2%
	"Seward County, KS"	"20175"	2471	409420	603.5	772.0	0.0%
	"Shawnee County, KS"	"20177"	31038	3143226	987.5	841.3	0.1%
	"Sheridan County, KS"	"20179"	584	46975	1243.2	721.0	0.0%
	"Sherman County, KS"	"20181"	1329	111421	1192.8	843.1	0.0%
	"Smith County, KS"	"20183"	1207	72376	1667.7	754.3	0.0%
	"Stafford County, KS"	"20185"	1114	80488	1384.1	823.8	0.0%
	"Stanton County, KS"	"20187"	346	40367	857.1	710.2	0.0%
	"Stevens County, KS"	"20189"	864	100408	860.5	748.1	0.0%
	"Sumner County, KS"	"20191"	4914	441018	1114.2	859.4	0.0%
	"Thomas County, KS"	"20193"	1394	142603	977.5	757.0	0.0%
	"Trego County, KS"	"20195"	863	54824	1574.1	810.9	0.0%
	"Wabaunsee County, KS"	"20197"	1221	124673	979.4	795.0	0.0%
	"Wallace County, KS"	"20199"	340	28164	1207.2	717.7	0.0%
	"Washington County, KS"	"20201"	1516	106872	1418.5	730.3	0.0%
	"Wichita County, KS"	"20203"	442	41489	1065.3	740.0	0.0%
	"Wilson County, KS"	"20205"	2421	172716	1401.7	926.5	0.0%
	"Woodson County, KS"	"20207"	1025	61589	1664.3	942.0	0.0%
	"Wyandotte County, KS"	"20209"	25634	2841065	902.3	978.8	0.1%
	"Adair County, KY"	"21001"	3276	331202	989.1	867.1	0.0%
	"Allen County, KY"	"21003"	3671	348362	1053.8	980.3	0.0%
	"Anderson County, KY"	"21005"	3266	372116	877.7	890.4	0.0%
	"Ballard County, KY"	"21007"	1925	148144	1299.4	1000.2	0.0%
	"Barren County, KY"	"21009"	8043	739268	1088.0	907.0	0.0%
	"Bath County, KY"	"21011"	2444	209176	1168.4	1036.0	0.0%
	"Bell County, KY"	"21013"	6764	518183	1305.3	1147.4	0.0%
	"Boone County, KY"	"21015"	12123	1978763	612.7	809.7	0.0%
	"Bourbon County, KY"	"21017"	3698	356561	1037.1	890.1	0.0%
	"Boyd County, KY"	"21019"	10848	887041	1222.9	986.6	0.0%
	"Boyle County, KY"	"21021"	5551	511655	1084.9	889.8	0.0%
	"Bracken County, KY"	"21023"	1625	151731	1071.0	1024.9	0.0%
	"Breathitt County, KY"	"21025"	3342	260293	1283.9	1260.9	0.0%
	"Breckinridge County, KY"	"21027"	3907	352789	1107.5	976.8	0.0%
	"Bullitt County, KY"	"21029"	8281	1274665	649.7	801.3	0.0%
	"Butler County, KY"	"21031"	2505	231507	1082.0	952.6	0.0%
	"Caldwell County, KY"	"21033"	3035	231703	1309.9	978.4	0.0%
	"Calloway County, KY"	"21035"	6544	656181	997.3	863.2	0.0%
	"Campbell County, KY"	"21037"	15109	1612029	937.3	901.5	0.0%
	"Carlisle County, KY"	"21039"	1238	92486	1338.6	937.9	0.0%
	"Carroll County, KY"	"21041"	2167	190357	1138.4	1105.2	0.0%
	"Carter County, KY"	"21043"	5374	493855	1088.2	999.6	0.0%
	"Casey County, KY"	"21045"	3396	284596	1193.3	994.4	0.0%
	"Christian County, KY"	"21047"	10637	1313707	809.7	972.9	0.0%
	"Clark County, KY"	"21049"	6385	625349	1021.0	943.5	0.0%
	"Clay County, KY"	"21051"	4414	405569	1088.3	1160.9	0.0%
	"Clinton County, KY"	"21053"	2236	180179	1241.0	1065.0	0.0%
	"Crittenden County, KY"	"21055"	2242	166659	1345.3	1024.4	0.0%
	"Cumberland County, KY"	"21057"	1869	125392	1490.5	1084.2	0.0%
	"Daviess County, KY"	"21059"	17065	1712514	996.5	861.1	0.0%
	"Edmonson County, KY"	"21061"	2169	215456	1006.7	838.9	0.0%
	"Elliott County, KY"	"21063"	1312	130832	1002.8	927.8	0.0%
	"Estill County, KY"	"21065"	3213	266118	1207.4	1097.4	0.0%
	"Fayette County, KY"	"21067"	37321	5165026	722.6	807.9	0.1%
	"Fleming County, KY"	"21069"	2916	257021	1134.5	1051.3	0.0%
	"Floyd County, KY"	"21071"	9015	722161	1248.3	1193.2	0.0%
	"Franklin County, KY"	"21073"	8684	881352	985.3	910.6	0.0%
	"Fulton County, KY"	"21075"	1924	125327	1535.2	1122.8	0.0%
	"Gallatin County, KY"	"21077"	1600	149504	1070.2	1208.8	0.0%
	"Garrard County, KY"	"21079"	2684	294250	912.1	834.8	0.0%
	"Grant County, KY"	"21081"	3688	433181	851.4	999.7	0.0%
	"Graves County, KY"	"21083"	8074	667276	1210.0	952.8	0.0%
	"Grayson County, KY"	"21085"	5172	455054	1136.6	1044.8	0.0%
	"Green County, KY"	"21087"	2439	204153	1194.7	896.8	0.0%
	"Greenup County, KY"	"21089"	7705	659921	1167.6	975.0	0.0%
	"Hancock County, KY"	"21091"	1355	153900	880.4	865.3	0.0%
	"Hardin County, KY"	"21093"	13878	1809245	767.1	868.1	0.0%
	"Harlan County, KY"	"21095"	7572	540966	1399.7	1231.7	0.0%
	"Harrison County, KY"	"21097"	3710	332213	1116.8	975.0	0.0%
	"Hart County, KY"	"21099"	3609	324887	1110.8	1011.7	0.0%
	"Henderson County, KY"	"21101"	8459	823524	1027.2	938.2	0.0%
	"Henry County, KY"	"21103"	2899	276610	1048.0	984.3	0.0%
	"Hickman County, KY"	"21105"	1191	89389	1332.4	866.4	0.0%
	"Hopkins County, KY"	"21107"	10294	838912	1227.1	1024.7	0.0%
	"Jackson County, KY"	"21109"	2723	242694	1122.0	1099.8	0.0%
	"Jefferson County, KY"	"21111"	129299	13094313	987.4	897.9	0.3%
	"Jessamine County, KY"	"21113"	6469	824713	784.4	841.1	0.0%
	"Johnson County, KY"	"21115"	4974	419665	1185.2	1105.3	0.0%
	"Kenton County, KY"	"21117"	24610	2833007	868.7	913.8	0.1%
	"Knott County, KY"	"21119"	3343	300358	1113.0	1074.5	0.0%
	"Knox County, KY"	"21121"	6692	570023	1174.0	1085.7	0.0%
	"Larue County, KY"	"21123"	2776	249714	1111.7	903.4	0.0%
	"Laurel County, KY"	"21125"	9798	1030097	951.2	982.2	0.0%
	"Lawrence County, KY"	"21127"	3333	283704	1174.8	1135.0	0.0%
	"Lee County, KY"	"21129"	1773	136991	1294.2	1184.9	0.0%
	"Leslie County, KY"	"21131"	2591	207857	1246.5	1176.8	0.0%
	"Letcher County, KY"	"21133"	5479	438316	1250.0	1165.7	0.0%
	"Lewis County, KY"	"21135"	2776	249020	1114.8	1034.6	0.0%
	"Lincoln County, KY"	"21137"	4668	437785	1066.3	983.9	0.0%
	"Livingston County, KY"	"21139"	2175	171801	1266.0	1007.6	0.0%
	"Logan County, KY"	"21141"	5279	480941	1097.6	953.8	0.0%
	"Lyon County, KY"	"21143"	1946	149004	1306.0	920.0	0.0%
	"McCracken County, KY"	"21145"	14035	1171960	1197.6	915.8	0.0%
	"McCreary County, KY"	"21147"	3322	319326	1040.3	1120.1	0.0%
	"McLean County, KY"	"21149"	2131	174254	1222.9	993.7	0.0%
	"Madison County, KY"	"21151"	11219	1446160	775.8	881.7	0.0%
	"Magoffin County, KY"	"21153"	2557	237217	1077.9	1108.5	0.0%
	"Marion County, KY"	"21155"	3422	345805	989.6	907.8	0.0%
	"Marshall County, KY"	"21157"	7009	556915	1258.5	919.4	0.0%
	"Martin County, KY"	"21159"	2332	230858	1010.1	1083.3	0.0%
	"Mason County, KY"	"21161"	3682	308215	1194.6	1013.4	0.0%
	"Meade County, KY"	"21163"	3518	515993	681.8	858.6	0.0%
	"Menifee County, KY"	"21165"	1263	116225	1086.7	995.8	0.0%
	"Mercer County, KY"	"21167"	4421	381272	1159.5	962.2	0.0%
	"Metcalfe County, KY"	"21169"	2268	180844	1254.1	1069.7	0.0%
	"Monroe County, KY"	"21171"	2675	200803	1332.2	1093.1	0.0%
	"Montgomery County, KY"	"21173"	4429	456143	971.0	928.1	0.0%
	"Morgan County, KY"	"21175"	2391	249655	957.7	943.5	0.0%
	"Muhlenberg County, KY"	"21177"	6915	567231	1219.1	998.6	0.0%
	"Nelson County, KY"	"21179"	6192	751785	823.6	881.3	0.0%
	"Nicholas County, KY"	"21181"	1743	127034	1372.1	1135.8	0.0%
	"Ohio County, KY"	"21183"	4741	426110	1112.6	955.0	0.0%
	"Oldham County, KY"	"21185"	5665	1020702	555.0	768.0	0.0%
	"Owen County, KY"	"21187"	1950	193699	1006.7	905.1	0.0%
	"Owsley County, KY"	"21189"	1345	85004	1582.3	1310.8	0.0%
	"Pendleton County, KY"	"21191"	2460	263881	932.2	967.6	0.0%
	"Perry County, KY"	"21193"	6828	515989	1323.3	1291.2	0.0%
	"Pike County, KY"	"21195"	14393	1177443	1222.4	1158.1	0.0%
	"Powell County, KY"	"21197"	2655	230198	1153.4	1242.4	0.0%
	"Pulaski County, KY"	"21199"	12752	1096556	1162.9	989.0	0.0%
	"Robertson County, KY"	"21201"	580	40596	1428.7	1024.0	0.0%
	"Rockcastle County, KY"	"21203"	3427	303763	1128.2	1039.3	0.0%
	"Rowan County, KY"	"21205"	3604	416243	865.8	967.7	0.0%
	"Russell County, KY"	"21207"	3758	309195	1215.4	964.9	0.0%
	"Scott County, KY"	"21209"	5118	778529	657.4	849.2	0.0%
	"Shelby County, KY"	"21211"	5570	716974	776.9	820.2	0.0%
	"Simpson County, KY"	"21213"	3221	309115	1042.0	956.3	0.0%
	"Spencer County, KY"	"21215"	2018	280948	718.3	885.2	0.0%
	"Taylor County, KY"	"21217"	4844	435534	1112.2	947.1	0.0%
	"Todd County, KY"	"21219"	2365	219943	1075.3	996.0	0.0%
	"Trigg County, KY"	"21221"	2876	246899	1164.8	915.1	0.0%
	"Trimble County, KY"	"21223"	1537	156351	983.0	970.7	0.0%
	"Union County, KY"	"21225"	3061	274296	1115.9	1042.7	0.0%
	"Warren County, KY"	"21227"	15208	1942582	782.9	879.7	0.0%
	"Washington County, KY"	"21229"	2240	207554	1079.2	877.0	0.0%
	"Wayne County, KY"	"21231"	3918	368240	1064.0	949.4	0.0%
	"Webster County, KY"	"21233"	2951	246899	1195.2	1000.9	0.0%
	"Whitley County, KY"	"21235"	7944	647093	1227.6	1170.3	0.0%
	"Wolfe County, KY"	"21237"	1794	129413	1386.3	1244.1	0.0%
	"Woodford County, KY"	"21239"	3741	439587	851.0	854.2	0.0%
	"Acadia Parish, LA"	"22001"	11334	1092732	1037.2	1034.6	0.0%
	"Allen Parish, LA"	"22003"	3853	460068	837.5	860.9	0.0%
	"Ascension Parish, LA"	"22005"	11063	1778851	621.9	854.9	0.0%
	"Assumption Parish, LA"	"22007"	3731	418493	891.5	867.6	0.0%
	"Avoyelles Parish, LA"	"22009"	8775	747241	1174.3	1052.8	0.0%
	"Beauregard Parish, LA"	"22011"	6102	625671	975.3	997.2	0.0%
	"Bienville Parish, LA"	"22013"	3851	263795	1459.8	1061.0	0.0%
	"Bossier Parish, LA"	"22015"	16001	2027088	789.4	861.9	0.0%
	"Caddo Parish, LA"	"22017"	48380	4536996	1066.3	965.4	0.1%
	"Calcasieu Parish, LA"	"22019"	33288	3415683	974.6	993.6	0.1%
	"Caldwell Parish, LA"	"22021"	2235	183974	1214.8	1087.1	0.0%
	"Cameron Parish, LA"	"22023"	1042	146064	713.4	755.5	0.0%
	"Catahoula Parish, LA"	"22025"	2333	187916	1241.5	1133.6	0.0%
	"Claiborne Parish, LA"	"22027"	3539	303009	1168.0	919.3	0.0%
	"Concordia Parish, LA"	"22029"	4248	365579	1162.0	1037.7	0.0%
	"De Soto Parish, LA"	"22031"	5215	473906	1100.4	978.2	0.0%
	"East Baton Rouge Parish, LA"	"22033"	63376	7734465	819.4	904.6	0.1%
	"East Carroll Parish, LA"	"22035"	1673	147214	1136.4	1140.5	0.0%
	"East Feliciana Parish, LA"	"22037"	4132	366208	1128.3	1144.7	0.0%
	"Evangeline Parish, LA"	"22039"	6788	619088	1096.5	1080.9	0.0%
